t_s,x,dx_dt
0.193298,-0.417975,61.444422
0.193548,-0.402597,61.545681
0.193798,-0.387195,61.643143
0.194049,-0.371768,61.7368
0.194299,-0.356319,61.826647
0.194549,-0.340847,61.912678
0.194799,-0.325355,61.994889
0.195049,-0.309842,62.073273
0.195299,-0.294311,62.147827
0.195549,-0.278761,62.218545
0.195799,-0.263194,62.285423
0.196049,-0.247611,62.348457
0.196299,-0.232012,62.407643
0.196549,-0.2164,62.462978
0.196799,-0.200773,62.514458
0.197049,-0.185135,62.562079
0.197299,-0.169485,62.60584
0.197549,-0.153824,62.645737
0.197799,-0.138155,62.681767
0.19805,-0.122476,62.71393
0.1983,-0.10679,62.742221
0.19855,-0.091097,62.766641
0.1988,-0.075399,62.787187
0.19905,-0.059696,62.803858
0.1993,-0.04399,62.816653
0.19955,-0.02828,62.825571
0.1998,-0.012569,62.830612
0.20005,0.003142,62.831776
0.2003,0.018854,62.829061
0.20055,0.034564,62.822469
0.2008,0.050273,62.812
0.20105,0.065978,62.797655
0.2013,0.081679,62.779434
0.20155,0.097375,62.757338
0.2018,0.113065,62.731369
0.202051,0.128748,62.701529
0.202301,0.144424,62.667819
0.202551,0.16009,62.630242
0.202801,0.175746,62.588799
0.203051,0.191392,62.543494
0.203301,0.207025,62.494328
0.203551,0.222646,62.441306
0.203801,0.238254,62.384431
0.204051,0.253846,62.323705
0.204301,0.269423,62.259132
0.204551,0.284983,62.190718
0.204801,0.300526,62.118465
0.205051,0.31605,62.042379
0.205301,0.331554,61.962463
0.205551,0.347038,61.878724
0.205801,0.362501,61.791166
0.206052,0.377941,61.699794
0.206302,0.393358,61.604614
0.206552,0.408751,61.505633
0.206802,0.424119,61.402855
0.207052,0.43946,61.296289
0.207302,0.454774,61.185939
0.207552,0.47006,61.071813
0.207802,0.485317,60.953918
0.208052,0.500545,60.832261
0.208302,0.515741,60.70685
0.208552,0.530905,60.577692
0.208802,0.546037,60.444796
0.209052,0.561135,60.308169
0.209302,0.576198,60.16782
0.209552,0.591226,60.023758
0.209802,0.606217,59.875992
0.210053,0.621171,59.72453
0.210303,0.636087,59.569383
0.210553,0.650963,59.410559
0.210803,0.665799,59.248068
0.211053,0.680594,59.081921
0.211303,0.695347,58.912128
0.211553,0.710057,58.738699
0.211803,0.724724,58.561645
0.212053,0.739345,58.380977
0.212303,0.753921,58.196705
0.212553,0.76845,58.008842
0.212803,0.782932,57.817399
0.213053,0.797366,57.622388
0.213303,0.811751,57.42382
0.213553,0.826085,57.221709
0.213803,0.840368,57.016066
0.214054,0.8546,56.806905
