t_ms,u_cat_D0.029,u_dog_D0.071
1.75838,0.986662,1.021424
1.76088,0.975322,1.014275
1.76338,0.963998,1.007138
1.76588,0.952694,1.000016
1.76838,0.941412,0.992909
1.77089,0.930154,0.985821
1.77339,0.918925,0.978752
1.77589,0.907725,0.971704
1.77839,0.896559,0.964678
1.78089,0.885429,0.957677
1.78339,0.874337,0.950703
1.78589,0.863287,0.943756
1.78839,0.85228,0.936838
1.7909,0.84132,0.929952
1.7934,0.83041,0.923098
1.7959,0.819551,0.916279
1.7984,0.808747,0.909496
1.8009,0.798,0.90275
1.8034,0.787313,0.896043
1.8059,0.776689,0.889377
1.8084,0.766129,0.882753
1.81091,0.755637,0.876173
1.81341,0.745214,0.869639
1.81591,0.734865,0.863151
1.81841,0.72459,0.856711
1.82091,0.714393,0.850321
1.82341,0.704276,0.843983
1.82591,0.694241,0.837697
1.82841,0.684291,0.831465
1.83092,0.674428,0.825289
1.83342,0.664654,0.81917
1.83592,0.654973,0.813109
1.83842,0.645385,0.807108
1.84092,0.635894,0.801168
1.84342,0.626501,0.79529
1.84592,0.61721,0.789476
1.84842,0.608021,0.783727
1.85093,0.598938,0.778045
1.85343,0.589962,0.772429
1.85593,0.581096,0.766883
1.85843,0.572341,0.761406
1.86093,0.5637,0.756001
1.86343,0.555174,0.750668
1.86593,0.546767,0.745408
1.86843,0.538479,0.740223
1.87094,0.530312,0.735113
1.87344,0.522269,0.730081
1.87594,0.514352,0.725126
1.87844,0.506561,0.72025
1.88094,0.4989,0.715455
1.88344,0.491369,0.71074
1.88594,0.483971,0.706107
1.88844,0.476707,0.701557
1.89095,0.469579,0.697091
1.89345,0.462589,0.692709
1.89595,0.455738,0.688414
1.89845,0.449027,0.684204
1.90095,0.442459,0.680082
1.90345,0.436034,0.676048
1.90595,0.429755,0.672104
1.90845,0.423622,0.668249
1.91096,0.417637,0.664484
1.91346,0.411801,0.660811
1.91596,0.406116,0.657229
1.91846,0.400583,0.65374
1.92096,0.395203,0.650345
1.92346,0.389977,0.647043
1.92596,0.384907,0.643836
1.92846,0.379993,0.640724
1.93097,0.375236,0.637707
1.93347,0.370639,0.634787
1.93597,0.366201,0.631963
1.93847,0.361923,0.629236
1.94097,0.357807,0.626607
1.94347,0.353854,0.624076
1.94597,0.350063,0.621643
1.94847,0.346437,0.61931
1.95098,0.342975,0.617075
1.95348,0.339678,0.61494
1.95598,0.336548,0.612904
1.95848,0.333584,0.610969
1.96098,0.330788,0.609134
1.96348,0.328159,0.607399
1.96598,0.325699,0.605766
1.96848,0.323407,0.604233
1.97099,0.321284,0.602801
1.97349,0.319331,0.60147
1.97599,0.317548,0.600241
1.97849,0.315935,0.599113
1.98099,0.314493,0.598087
1.98349,0.313221,0.597162
1.98599,0.312119,0.596338
1.98849,0.311189,0.595616
1.991,0.310429,0.594996
1.9935,0.30984,0.594476
1.996,0.309423,0.594058
1.9985,0.309176,0.593741
2.001,0.3091,0.593525
2.0035,0.309194,0.593409
2.006,0.309459,0.593394
2.0085,0.309894,0.59348
2.01101,0.310499,0.593666
2.01351,0.311274,0.593951
2.01601,0.312218,0.594336
2.01851,0.313331,0.59482
2.02101,0.314613,0.595403
2.02351,0.316062,0.596085
2.02601,0.317679,0.596864
2.02851,0.319463,0.597742
2.03102,0.321413,0.598717
2.03352,0.32353,0.599788
2.03602,0.325811,0.600956
2.03852,0.328256,0.602219
2.04102,0.330865,0.603578
2.04352,0.333637,0.605032
2.04602,0.33657,0.60658
2.04852,0.339665,0.608221
2.05103,0.34292,0.609956
2.05353,0.346334,0.611783
2.05603,0.349907,0.613701
2.05853,0.353636,0.61571
2.06103,0.357522,0.61781
2.06353,0.361563,0.62
2.06603,0.365757,0.622278
2.06853,0.370104,0.624644
2.07104,0.374603,0.627097
2.07354,0.379252,0.629638
2.07604,0.38405,0.632263
2.07854,0.388995,0.634974
2.08104,0.394087,0.637768
2.08354,0.399324,0.640646
2.08604,0.404704,0.643606
2.08854,0.410226,0.646647
2.09105,0.415889,0.649768
2.09355,0.42169,0.652969
2.09605,0.427629,0.656248
2.09855,0.433704,0.659605
2.10105,0.439913,0.663038
2.10355,0.446255,0.666547
2.10605,0.452727,0.67013
2.10855,0.459328,0.673786
2.11106,0.466057,0.677515
2.11356,0.472912,0.681315
2.11606,0.47989,0.685185
2.11856,0.48699,0.689124
2.12106,0.49421,0.69313
2.12356,0.501549,0.697204
2.12606,0.509004,0.701343
2.12856,0.516573,0.705546
2.13107,0.524254,0.709813
2.13357,0.532046,0.714142
2.13607,0.539946,0.718531
2.13857,0.547952,0.72298
2.14107,0.556063,0.727488
2.14357,0.564275,0.732053
2.14607,0.572588,0.736673
2.14857,0.580999,0.741348
2.15108,0.589505,0.746077
2.15358,0.598104,0.750857
2.15608,0.606795,0.755688
2.15858,0.615575,0.760569
