f_Hz,H_cat,H_dog
1889.39,0.38877,0.387005
1891.85,0.387375,0.385624
1894.3,0.385987,0.38425
1896.75,0.384608,0.382885
1899.2,0.383237,0.381528
1901.65,0.381874,0.380179
1904.1,0.380519,0.378837
1906.55,0.379171,0.377503
1909.0,0.377832,0.376177
1911.46,0.3765,0.374858
1913.91,0.375176,0.373547
1916.36,0.373859,0.372243
1918.81,0.37255,0.370947
1921.26,0.371248,0.369658
1923.71,0.369954,0.368377
1926.16,0.368667,0.367102
1928.61,0.367388,0.365835
1931.07,0.366116,0.364575
1933.52,0.364851,0.363322
1935.97,0.363593,0.362076
1938.42,0.362342,0.360836
1940.87,0.361098,0.359604
1943.32,0.359861,0.358379
1945.77,0.358631,0.35716
1948.22,0.357408,0.355948
1950.68,0.356191,0.354743
1953.13,0.354982,0.353544
1955.58,0.353779,0.352352
1958.03,0.352582,0.351167
1960.48,0.351393,0.349988
1962.93,0.350209,0.348815
1965.38,0.349033,0.347649
1967.83,0.347862,0.346489
1970.29,0.346698,0.345335
1972.74,0.345541,0.344188
1975.19,0.344389,0.343047
1977.64,0.343244,0.341912
1980.09,0.342105,0.340783
1982.54,0.340972,0.33966
1984.99,0.339846,0.338543
1987.44,0.338725,0.337432
1989.89,0.33761,0.336326
1992.35,0.336501,0.335227
1994.8,0.335399,0.334134
1997.25,0.334302,0.333046
1999.7,0.333211,0.331964
2002.15,0.332125,0.330888
2004.6,0.331046,0.329817
2007.05,0.329972,0.328752
2009.5,0.328903,0.327692
2011.96,0.327841,0.326638
2014.41,0.326783,0.32559
2016.86,0.325732,0.324547
2019.31,0.324686,0.323509
2021.76,0.323645,0.322477
2024.21,0.32261,0.32145
2026.66,0.32158,0.320428
2029.11,0.320555,0.319412
2031.57,0.319536,0.318401
2034.02,0.318521,0.317395
2036.47,0.317513,0.316394
2038.92,0.316509,0.315398
2041.37,0.31551,0.314407
2043.82,0.314517,0.313421
2046.27,0.313528,0.31244
2048.72,0.312545,0.311464
2051.18,0.311566,0.310494
2053.63,0.310593,0.309527
2056.08,0.309624,0.308566
2058.53,0.30866,0.30761
2060.98,0.307702,0.306658
2063.43,0.306747,0.305711
2065.88,0.305798,0.304769
2068.33,0.304854,0.303832
2070.79,0.303914,0.302899
2073.24,0.302979,0.301971
2075.69,0.302048,0.301047
2078.14,0.301122,0.300128
2080.59,0.300201,0.299213
2083.04,0.299284,0.298303
2085.49,0.298372,0.297397
2087.94,0.297464,0.296496
2090.4,0.29656,0.295599
2092.85,0.295661,0.294707
2095.3,0.294767,0.293819
2097.75,0.293877,0.292935
2100.2,0.292991,0.292055
2102.65,0.292109,0.29118
2105.1,0.291232,0.290309
2107.55,0.290359,0.289442
2110.01,0.28949,0.288579
2112.46,0.288625,0.28772
2114.91,0.287765,0.286866
2117.36,0.286908,0.286015
2119.81,0.286056,0.285169
2122.26,0.285208,0.284326
2124.71,0.284364,0.283488
2127.16,0.283523,0.282654
2129.61,0.282687,0.281823
2132.07,0.281855,0.280996
2134.52,0.281027,0.280174
2136.97,0.280202,0.279355
2139.42,0.279382,0.27854
2141.87,0.278565,0.277729
2144.32,0.277752,0.276921
2146.77,0.276943,0.276118
2149.22,0.276138,0.275318
2151.68,0.275337,0.274522
2154.13,0.274539,0.273729
2156.58,0.273745,0.27294
2159.03,0.272955,0.272155
2161.48,0.272168,0.271373
2163.93,0.271385,0.270595
2166.38,0.270606,0.269821
2168.83,0.26983,0.26905
2171.29,0.269058,0.268283
2173.74,0.268289,0.267519
2176.19,0.267524,0.266759
2178.64,0.266762,0.266002
2181.09,0.266004,0.265248
2183.54,0.265249,0.264498
2185.99,0.264498,0.263751
2188.44,0.26375,0.263008
2190.9,0.263005,0.262268
2193.35,0.262264,0.261532
2195.8,0.261526,0.260798
2198.25,0.260792,0.260068
2200.7,0.26006,0.259341
2203.15,0.259332,0.258618
2205.6,0.258608,0.257898
2208.05,0.257886,0.257181
2210.51,0.257168,0.256467
2212.96,0.256453,0.255756
2215.41,0.255741,0.255048
2217.86,0.255032,0.254344
2220.31,0.254327,0.253642
2222.76,0.253625,0.252944
2225.21,0.252925,0.252249
2227.66,0.252229,0.251557
2230.12,0.251536,0.250868
2232.57,0.250846,0.250182
2235.02,0.250158,0.249498
2237.47,0.249474,0.248818
2239.92,0.248793,0.248141
2242.37,0.248115,0.247467
2244.82,0.24744,0.246795
2247.27,0.246768,0.246127
2249.72,0.246098,0.245461
2252.18,0.245432,0.244799
2254.63,0.244768,0.244139
2257.08,0.244108,0.243482
2259.53,0.24345,0.242828
2261.98,0.242795,0.242176
2264.43,0.242142,0.241528
2266.88,0.241493,0.240882
2269.33,0.240846,0.240239
2271.79,0.240202,0.239599
2274.24,0.239561,0.238961
2276.69,0.238923,0.238326
2279.14,0.238287,0.237694
2281.59,0.237654,0.237064
2284.04,0.237024,0.236437
2286.49,0.236396,0.235813
2288.94,0.235771,0.235191
2291.4,0.235149,0.234572
2293.85,0.234529,0.233956
2296.3,0.233912,0.233342
2298.75,0.233297,0.23273
2301.2,0.232685,0.232122
2303.65,0.232075,0.231515
2306.1,0.231469,0.230912
2308.55,0.230864,0.23031
2311.01,0.230262,0.229712
2313.46,0.229663,0.229115
2315.91,0.229066,0.228522
2318.36,0.228471,0.22793
2320.81,0.227879,0.227341
2323.26,0.22729,0.226755
2325.71,0.226703,0.226171
2328.16,0.226118,0.225589
2330.62,0.225536,0.22501
2333.07,0.224956,0.224433
2335.52,0.224378,0.223858
2337.97,0.223803,0.223286
2340.42,0.22323,0.222716
2342.87,0.22266,0.222148
2345.32,0.222091,0.221582
2347.77,0.221525,0.221019
2350.23,0.220962,0.220459
2352.68,0.2204,0.2199
2355.13,0.219841,0.219344
2357.58,0.219284,0.218789
2360.03,0.21873,0.218238
2362.48,0.218177,0.217688
2364.93,0.217627,0.21714
2367.38,0.217079,0.216595
2369.83,0.216534,0.216052
2372.29,0.21599,0.215511
2374.74,0.215449,0.214972
2377.19,0.214909,0.214435
2379.64,0.214372,0.213901
2382.09,0.213837,0.213368
2384.54,0.213304,0.212838
