t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
4769.5,1.43086,245.1193,0.1634,1148671317356391257015620896849418932599918499761671101506312276292041310766710326778920960.0000,0.0000,0.1355,1148671317356391257015620896849418932599918499761671101506312276292041310766710326778920960.0000
4779.6,1.43387,243.8019,0.1625,1775815607777712747544700645105169328631100620124139029182831431745936569075532416268894208.0000,0.0000,0.1355,1775815607777712747544700645105169328631100620124139029182831431745936569075532416268894208.0000
4789.6,1.43687,242.4858,0.1617,2745364165690744222606505534611456899115295542963559238638239526589989232976697164115738624.0000,0.0000,0.1355,2745364165690744222606505534611456899115295542963559238638239526589989232976697164115738624.0000
4799.6,1.43988,241.1711,0.1608,4244260704347895773872589623716784091846273821102774463206620192601925600373514125692633088.0000,0.0000,0.1355,4244260704347895773872589623716784091846273821102774463206620192601925600373514125692633088.0000
4809.6,1.44289,239.8577,0.1599,6561515281503788975060312676165572751394783028806233913136790942826683002633305602551447552.0000,0.0000,0.1355,6561515281503788975060312676165572751394783028806233913136790942826683002633305602551447552.0000
4819.6,1.44589,238.5458,0.1590,10143929835719511784322745066686551358730568040963263336100677530748842729821588400543629312.0000,0.0000,0.1355,10143929835719511784322745066686551358730568040963263336100677530748842729821588400543629312.0000
4829.7,1.44890,237.2352,0.1582,15682248398028218796712972244072847157532499673558988528994191582721132732354037190525714432.0000,0.0000,0.1355,15682248398028218796712972244072847157532499673558988528994191582721132732354037190525714432.0000
4839.7,1.45190,235.9259,0.1573,24244343050507164644247340963972817757393782410221940580352531447494662774835458815190630400.0000,0.0000,0.1355,24244343050507164644247340963972817757393782410221940580352531447494662774835458815190630400.0000
4849.7,1.45491,234.6180,0.1564,37481115910942738663202084839166325817522394263749113905041991271233322224336018117744394240.0000,0.0000,0.1355,37481115910942738663202084839166325817522394263749113905041991271233322224336018117744394240.0000
4859.7,1.45792,233.3115,0.1555,57944818178938349340034377809268935422156040212455089318331883702637812542126580653004685312.0000,0.0000,0.1355,57944818178938349340034377809268935422156040212455089318331883702637812542126580653004685312.0000
4869.7,1.46092,232.0063,0.1547,89581162998673060361420493155277434509561991381752576134641961007606814316040673279254462464.0000,0.0000,0.1355,89581162998673060361420493155277434509561991381752576134641961007606814316040673279254462464.0000
4879.8,1.46393,230.7025,0.1538,138490118985508539856503802347273053813847352012674148743305719061061817237938374677503148032.0000,0.0000,0.1355,138490118985508539856503802347273053813847352012674148743305719061061817237938374677503148032.0000
4889.8,1.46693,229.3999,0.1529,214102076983577639256121042953640058291192937121262277782089818478572267293761110513729667072.0000,0.0000,0.1355,214102076983577639256121042953640058291192937121262277782089818478572267293761110513729667072.0000
4899.8,1.46994,228.0988,0.1521,330996172900102132206025905162795177409360639821436239109498565370367676370572755826875826176.0000,0.0000,0.1355,330996172900102132206025905162795177409360639821436239109498565370367676370572755826875826176.0000
4909.8,1.47295,226.7989,0.1512,511711366923908088503598394302022765183077064332604762992564245160460082576400071739066810368.0000,0.0000,0.1355,511711366923908088503598394302022765183077064332604762992564245160460082576400071739066810368.0000
4919.8,1.47595,225.5004,0.1503,791092297970913512846798394777698991959543387901428717736818968079723576484830029038682636288.0000,0.0000,0.1355,791092297970913512846798394777698991959543387901428717736818968079723576484830029038682636288.0000
4929.9,1.47896,224.2032,0.1495,1223007860214285903408643925338076539908804949542203631778591420072528546719653824193194098688.0000,0.0000,0.1355,1223007860214285903408643925338076539908804949542203631778591420072528546719653824193194098688.0000
4939.9,1.48196,222.9073,0.1486,1890737945474067691240880499740875297292876158015002304861589673637982545336861963498813390848.0000,0.0000,0.1355,1890737945474067691240880499740875297292876158015002304861589673637982545336861963498813390848.0000
4949.9,1.48497,221.6127,0.1477,2923031073429839446351247465831342704822476603377848585456028662568905580016058781466770800640.0000,0.0000,0.1355,2923031073429839446351247465831342704822476603377848585456028662568905580016058781466770800640.0000
4959.9,1.48798,220.3195,0.1469,4518929065071917582241050352422276678510566768989443430359726352025351393495240695422597988352.0000,0.0000,0.1355,4518929065071917582241050352422276678510566768989443430359726352025351393495240695422597988352.0000
4969.9,1.49098,219.0275,0.1460,6986145334127365711312674927234880554255254738637657777002613066892215788933365614470871646208.0000,0.0000,0.1355,6986145334127365711312674927234880554255254738637657777002613066892215788933365614470871646208.0000
4980.0,1.49399,217.7369,0.1452,10800396714962114652500713935246790190301452844756913007599497000357695680271764738721838006272.0000,0.0000,0.1355,10800396714962114652500713935246790190301452844756913007599497000357695680271764738721838006272.0000
4990.0,1.49699,216.4475,0.1443,16697128906084364157646670103983806198747725632478602397708275449853965415663608638975474925568.0000,0.0000,0.1355,16697128906084364157646670103983806198747725632478602397708275449853965415663608638975474925568.0000
5000.0,1.50000,215.1595,0.1434,25813321590323454092475673417196774536739759167957324969222408892210289836735632561440445956096.0000,0.0000,0.1355,25813321590323454092475673417196774536739759167957324969222408892210289836735632561440445956096.0000
