t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
2354.7,0.70641,618.2755,0.4122,290062517837519518729931343385830567782121472.0000,0.0000,0.1355,290062517837519518729931343385830567782121472.0000
2364.7,0.70942,616.4015,0.4109,448429014134917050410858470090461022634639360.0000,0.0000,0.1355,448429014134917050410858470090461022634639360.0000
2374.7,0.71242,614.5315,0.4097,693259447022571872787642831864803099899068416.0000,0.0000,0.1355,693259447022571872787642831864803099899068416.0000
2384.8,0.71543,612.6654,0.4084,1071760848956702258939390982035069713166368768.0000,0.0000,0.1355,1071760848956702258939390982035069713166368768.0000
2394.8,0.71844,610.8032,0.4072,1656914048975004579069585143042669777029955584.0000,0.0000,0.1355,1656914048975004579069585143042669777029955584.0000
2404.8,0.72144,608.9449,0.4060,2561545486908984870145111240998697908765196288.0000,0.0000,0.1355,2561545486908984870145111240998697908765196288.0000
2414.8,0.72445,607.0904,0.4047,3960081867591656296955568121511034459252588544.0000,0.0000,0.1355,3960081867591656296955568121511034459252588544.0000
2424.8,0.72745,605.2398,0.4035,6122182283380793779469033183398422587390296064.0000,0.0000,0.1355,6122182283380793779469033183398422587390296064.0000
2434.9,0.73046,603.3931,0.4023,9464732589918906378764957210765315214137098240.0000,0.0000,0.1355,9464732589918906378764957210765315214137098240.0000
2444.9,0.73347,601.5501,0.4010,14632227341849827147896132199318570225362796544.0000,0.0000,0.1355,14632227341849827147896132199318570225362796544.0000
2454.9,0.73647,599.7109,0.3998,22621038148677175881181830672716009049337888768.0000,0.0000,0.1355,22621038148677175881181830672716009049337888768.0000
2464.9,0.73948,597.8754,0.3986,34971529280463073747729616869245348041426206720.0000,0.0000,0.1355,34971529280463073747729616869245348041426206720.0000
2474.9,0.74248,596.0437,0.3974,54065063335112775987558002435854259441788518400.0000,0.0000,0.1355,54065063335112775987558002435854259441788518400.0000
2485.0,0.74549,594.2157,0.3961,83583164178723008187147402236174423265514618880.0000,0.0000,0.1355,83583164178723008187147402236174423265514618880.0000
2495.0,0.74850,592.3913,0.3949,129217370759833848779478325026881900232554053632.0000,0.0000,0.1355,129217370759833848779478325026881900232554053632.0000
2505.0,0.75150,590.5707,0.3937,199766652413175764476637083848567263854441005056.0000,0.0000,0.1355,199766652413175764476637083848567263854441005056.0000
2515.0,0.75451,588.7536,0.3925,308833984020136512683706514565062510885034000384.0000,0.0000,0.1355,308833984020136512683706514565062510885034000384.0000
2525.1,0.75752,586.9402,0.3913,477449206529623816092762991765327372875793956864.0000,0.0000,0.1355,477449206529623816092762991765327372875793956864.0000
2535.1,0.76052,585.1304,0.3901,738123900253490716703002748879311707983432384512.0000,0.0000,0.1355,738123900253490716703002748879311707983432384512.0000
